jan,2011,45,
feb,2011,54,
mar,2011,32,
apr,2011,65,
may,2011,43,
jun,2011,55,
jul,2011,67,
aug,2011,44,
sep,2011,66,
oct,2011,23,
nov,2011,32,
dec,2011,31,
jan,2012,63,
feb,2012,11,
mar,2012,24,
apr,2012,51,
may,2012,45,
jun,2012,23,
jul,2012,53,
aug,2012,15,
sep,2012,14,
oct,2012,62,
nov,2012,51,
dec,2012,31,
jan,2013,48,
feb,2013,54,
mar,2013,44,
apr,2013,11,
may,2013,51,
jun,2013,23,
jul,2013,42,
aug,2013,32,
sep,2013,23,
oct,2013,11,
nov,2013,15,
dec,2013,16,
jan,2014,23,
feb,2014,42,
mar,2014,34,
apr,2014,42,
may,2014,43,
jun,2014,12,
jul,2014,24,
aug,2014,23,
sep,2014,43,
oct,2014,34,
nov,2014,30,
dec,2014,39,
jan,2015,45,
feb,2015,54,
mar,2015,56,
apr,2015,75,
may,2015,29,
jun,2015,30,
jul,2015,10,
aug,2015,19,
sep,2015,28,
oct,2015,37,
nov,2015,32,
dec,2015,47,
